Ticker: MSFT | Train: 1035 | Test: 346
....................Iter  640 | ω=0.199676 α=0.0836 γ=0.2160 β=0.7575 | Persist=0.9490
....................Iter  650 | ω=0.203179 α=0.0837 γ=0.2126 β=0.7592 | Persist=0.9492
....................Iter  660 | ω=0.202168 α=0.0839 γ=0.2129 β=0.7588 | Persist=0.9491
....................Iter  670 | ω=0.201127 α=0.0835 γ=0.2162 β=0.7576 | Persist=0.9492
....................Iter  680 | ω=0.202695 α=0.0834 γ=0.2163 β=0.7580 | Persist=0.9496
....................Iter  690 | ω=0.199971 α=0.0832 γ=0.2175 β=0.7572 | Persist=0.9493
....................Iter  700 | ω=0.200533 α=0.0835 γ=0.2165 β=0.7576 | Persist=0.9493
....................Iter  710 | ω=0.201106 α=0.0838 γ=0.2144 β=0.7582 | Persist=0.9492
....................Iter  720 | ω=0.201198 α=0.0840 γ=0.2123 β=0.7588 | Persist=0.9489
....................Iter  730 | ω=0.200812 α=0.0841 γ=0.2134 β=0.7582 | Persist=0.9490
....................Iter  740 | ω=0.201678 α=0.0842 γ=0.2120 β=0.7590 | Persist=0.9492
....................Iter  750 | ω=0.201984 α=0.0838 γ=0.2133 β=0.7590 | Persist=0.9494
....................Iter  760 | ω=0.198493 α=0.0838 γ=0.2159 β=0.7573 | Persist=0.9490
....................Iter  770 | ω=0.203137 α=0.0840 γ=0.2111 β=0.7599 | Persist=0.9494
....................Iter  780 | ω=0.200194 α=0.0841 γ=0.2134 β=0.7584 | Persist=0.9491
....................Iter  790 | ω=0.198455 α=0.0843 γ=0.2156 β=0.7570 | Persist=0.9491
....................Iter  800 | ω=0.202447 α=0.0848 γ=0.2120 β=0.7587 | Persist=0.9496
....................Iter  810 | ω=0.202831 α=0.0850 γ=0.2112 β=0.7591 | Persist=0.9496
....................Iter  820 | ω=0.201208 α=0.0850 γ=0.2126 β=0.7582 | Persist=0.9495
....................Iter  830 | ω=0.200464 α=0.0849 γ=0.2140 β=0.7575 | Persist=0.9494
....................Iter  840 | ω=0.202152 α=0.0849 γ=0.2127 β=0.7584 | Persist=0.9496
....................Iter  850 | ω=0.202415 α=0.0845 γ=0.2135 β=0.7585 | Persist=0.9497
....................Iter  860 | ω=0.199739 α=0.0846 γ=0.2153 β=0.7573 | Persist=0.9495
....................Iter  870 | ω=0.199636 α=0.0842 γ=0.2158 β=0.7574 | Persist=0.9495
....................Iter  880 | ω=0.200783 α=0.0840 γ=0.2152 β=0.7580 | Persist=0.9496
....................Iter  890 | ω=0.200680 α=0.0839 γ=0.2149 β=0.7583 | Persist=0.9497
....................Iter  900 | ω=0.199230 α=0.0844 γ=0.2133 β=0.7583 | Persist=0.9494
....................Iter  910 | ω=0.200641 α=0.0841 γ=0.2133 β=0.7588 | Persist=0.9496
....................Iter  920 | ω=0.199802 α=0.0839 γ=0.2147 β=0.7584 | Persist=0.9496
....................Iter  930 | ω=0.200506 α=0.0842 γ=0.2126 β=0.7591 | Persist=0.9496
....................Iter  940 | ω=0.199671 α=0.0843 γ=0.2133 β=0.7585 | Persist=0.9495
....................Iter  950 | ω=0.198787 α=0.0841 γ=0.2147 β=0.7578 | Persist=0.9493
....................Iter  960 | ω=0.198981 α=0.0841 γ=0.2147 β=0.7578 | Persist=0.9493
....................Iter  970 | ω=0.201287 α=0.0839 γ=0.2142 β=0.7586 | Persist=0.9495
....................Iter  980 | ω=0.200483 α=0.0837 γ=0.2150 β=0.7583 | Persist=0.9495
....................Iter  990 | ω=0.196882 α=0.0837 γ=0.2182 β=0.7562 | Persist=0.9491
....................Iter 1000 | ω=0.201516 α=0.0836 γ=0.2133 β=0.7590 | Persist=0.9493
....................Iter 1010 | ω=0.201251 α=0.0834 γ=0.2153 β=0.7585 | Persist=0.9495
....................Iter 1020 | ω=0.198709 α=0.0835 γ=0.2166 β=0.7577 | Persist=0.9495
....................Iter 1030 | ω=0.200342 α=0.0832 γ=0.2153 β=0.7586 | Persist=0.9495
....................Iter 1040 | ω=0.200824 α=0.0832 γ=0.2156 β=0.7586 | Persist=0.9495
....................Iter 1050 | ω=0.199026 α=0.0833 γ=0.2168 β=0.7578 | Persist=0.9495
....................Iter 1060 | ω=0.200018 α=0.0836 γ=0.2152 β=0.7584 | Persist=0.9495
....................Iter 1070 | ω=0.201390 α=0.0834 γ=0.2145 β=0.7591 | Persist=0.9497
....................Iter 1080 | ω=0.201888 α=0.0837 γ=0.2133 β=0.7594 | Persist=0.9498
....................Iter 1090 | ω=0.199699 α=0.0842 γ=0.2135 β=0.7586 | Persist=0.9496
....................Iter 1100 | ω=0.198935 α=0.0845 γ=0.2137 β=0.7582 | Persist=0.9496
....................Iter 1110 | ω=0.200194 α=0.0841 γ=0.2137 β=0.7586 | Persist=0.9496
....................Iter 1120 | ω=0.201037 α=0.0839 γ=0.2143 β=0.7587 | Persist=0.9497
....................Iter 1130 | ω=0.200933 α=0.0838 γ=0.2142 β=0.7588 | Persist=0.9497
